Recall,Precision
0.005342399,0.335877863
0.005342399,0.333333333
0.005342399,0.330827068
0.005463817,0.335820896
0.005463817,0.333333333
0.005585236,0.338235294
0.005585236,0.335766423
0.005585236,0.333333333
0.005706654,0.338129496
0.005828072,0.342857143
0.005828072,0.340425532
0.005828072,0.338028169
0.00594949,0.342657343
0.00594949,0.340277778
0.00594949,0.337931034
0.00594949,0.335616438
0.00594949,0.333333333
0.006070908,0.337837838
0.006070908,0.33557047
0.006070908,0.333333333
0.006070908,0.331125828
0.006070908,0.328947368
0.006070908,0.326797386
0.006192326,0.331168831
0.006192326,0.329032258
0.006313745,0.333333333
0.006313745,0.331210191
0.006313745,0.329113924
0.006435163,0.333333333
0.006556581,0.3375
0.006677999,0.341614907
0.006677999,0.339506173
0.006799417,0.343558282
0.006799417,0.341463415
0.006799417,0.339393939
0.006920835,0.343373494
0.006920835,0.341317365
0.006920835,0.339285714
0.007042254,0.341176471
0.007042254,0.339181287
0.007163672,0.343023256
0.007163672,0.341040462
0.007163672,0.33908046
0.007163672,0.337142857
0.007163672,0.335227273
0.007163672,0.333333333
0.00728509,0.337078652
0.00728509,0.335195531
0.00728509,0.333333333
0.00728509,0.331491713
0.007406508,0.335164835
0.007406508,0.333333333
0.007406508,0.331521739
0.007527926,0.335135135
0.007649344,0.338709677
0.007649344,0.336898396
0.007649344,0.335106383
0.007649344,0.333333333
0.007770763,0.336842105
0.007770763,0.335078534
0.007770763,0.333333333
0.007892181,0.336787565
0.007892181,0.335051546
0.007892181,0.333333333
0.007892181,0.331632653
0.007892181,0.329949239
0.008013599,0.333333333
0.008013599,0.331658291
0.008013599,0.33
0.008013599,0.328358209
0.008013599,0.326732673
0.008013599,0.325123153
0.008013599,0.323529412
0.008135017,0.326829268
0.008256435,0.330097087
0.008377853,0.333333333
0.008499271,0.336538462
0.00862069,0.339712919
0.00862069,0.338095238
0.008742108,0.341232227
0.008863526,0.344339623
0.008863526,0.342723005
0.008863526,0.341121495
0.008863526,0.339534884
0.008984944,0.341013825
0.009106362,0.344036697
0.00922778,0.347031963
0.009349199,0.35
0.009470617,0.352941176
0.009470617,0.351351351
0.009470617,0.349775785
0.009470617,0.348214286
0.009592035,0.351111111
0.009592035,0.349557522
0.009713453,0.352422907
0.009834871,0.355263158
0.009834871,0.35371179
0.009834871,0.352173913
0.009956289,0.354978355
0.009956289,0.353448276
0.010077708,0.356223176
0.010199126,0.358974359
0.010199126,0.357446809
0.010199126,0.355932203
0.010199126,0.35443038
0.010199126,0.352941176
0.010320544,0.355648536
0.010320544,0.354166667
0.010441962,0.356846473
0.010441962,0.355371901
0.010441962,0.353909465
0.010441962,0.352459016
0.010441962,0.351020408
0.010441962,0.349593496
0.010441962,0.348178138
0.010441962,0.346774194
0.010441962,0.345381526
0.010441962,0.344
0.01056338,0.346613546
0.01056338,0.345238095
0.010684798,0.347826087
0.010806217,0.350393701
0.010927635,0.352941176
0.010927635,0.3515625
0.011049053,0.354085603
0.011049053,0.352713178
0.011049053,0.351351351
0.011049053,0.35
0.011049053,0.348659004
0.011170471,0.351145038
0.011291889,0.353612167
0.011291889,0.352272727
0.011413307,0.354716981
0.011413307,0.353383459
0.011413307,0.352059925
0.011413307,0.350746269
0.011413307,0.349442379
0.011534726,0.351851852
0.011656144,0.354243542
0.011777562,0.356617647
0.011777562,0.355311355
0.01189898,0.357664234
0.01189898,0.356363636
0.012020398,0.358695652
0.012020398,0.357400722
0.012020398,0.356115108
0.012020398,0.35483871
0.012020398,0.353571429
0.012020398,0.352313167
0.012020398,0.35106383
0.012020398,0.349823322
0.012141816,0.352112676
0.012141816,0.350877193
0.012141816,0.34965035
0.012141816,0.348432056
0.012263235,0.350694444
0.012263235,0.349480969
0.012263235,0.348275862
0.012384653,0.350515464
0.012506071,0.352739726
0.012506071,0.351535836
0.012506071,0.350340136
0.012506071,0.349152542
0.012506071,0.347972973
0.012506071,0.346801347
0.012506071,0.345637584
0.012506071,0.344481605
0.012506071,0.343333333
0.012506071,0.342192691
0.012506071,0.341059603
0.012627489,0.343234323
0.012748907,0.345394737
0.012748907,0.344262295
0.012748907,0.343137255
0.012870325,0.345276873
0.012991744,0.347402597
0.012991744,0.346278317
0.012991744,0.34516129
0.013113162,0.347266881
0.01323458,0.349358974
0.01323458,0.348242812
0.01323458,0.347133758
0.013355998,0.349206349
0.013355998,0.348101266
0.013355998,0.347003155
0.013355998,0.34591195
0.013477416,0.347962382
0.013477416,0.346875
0.013477416,0.345794393
0.013598834,0.347826087
0.013598834,0.346749226
0.013598834,0.345679012
0.013598834,0.344615385
0.013598834,0.343558282
0.013598834,0.342507645
0.013720253,0.344512195
0.013720253,0.343465046
0.013720253,0.342424242
0.013720253,0.341389728
0.013841671,0.343373494
0.013841671,0.342342342
0.013841671,0.341317365
0.013841671,0.340298507
0.013963089,0.342261905
0.014084507,0.34421365
0.014205925,0.346153846
0.014205925,0.345132743
0.014205925,0.344117647
0.014205925,0.343108504
0.014205925,0.342105263
0.014205925,0.341107872
0.014327343,0.343023256
0.014448762,0.344927536
0.014448762,0.343930636
0.014448762,0.342939481
0.014448762,0.341954023
0.014448762,0.340974212
0.01457018,0.342857143
0.014691598,0.344729345
0.014691598,0.34375
0.014691598,0.342776204
0.014813016,0.344632768
0.014934434,0.346478873
0.014934434,0.345505618
0.015055852,0.347338936
0.015055852,0.346368715
0.015055852,0.3454039
0.015055852,0.344444444
0.015177271,0.346260388
0.015177271,0.345303867
0.015177271,0.344352617
0.015177271,0.343406593
0.015177271,0.342465753
0.015177271,0.341530055
0.015298689,0.343324251
0.015298689,0.342391304
0.015298689,0.341463415
0.015420107,0.343243243
0.015420107,0.342318059
0.015541525,0.344086022
0.015541525,0.343163539
0.015541525,0.342245989
0.015541525,0.341333333
0.015541525,0.340425532
0.015662943,0.342175066
0.015662943,0.341269841
0.015662943,0.340369393
0.015784361,0.342105263
0.01590578,0.343832021
0.01590578,0.342931937
0.016027198,0.34464752
0.016027198,0.34375
0.016027198,0.342857143
0.016027198,0.341968912
0.016148616,0.343669251
0.016270034,0.345360825
0.016391452,0.347043702
0.01651287,0.348717949
0.016634288,0.350383632
0.016634288,0.349489796
0.016755707,0.351145038
0.016755707,0.350253807
0.016755707,0.349367089
0.016755707,0.348484848
0.016755707,0.347607053
0.016755707,0.346733668
0.016755707,0.345864662
0.016755707,0.345
0.016755707,0.344139651
0.016877125,0.345771144
0.016877125,0.344913151
0.016998543,0.346534653
0.016998543,0.345679012
0.016998543,0.344827586
0.016998543,0.343980344
0.016998543,0.343137255
0.016998543,0.342298289
0.016998543,0.341463415
0.017119961,0.343065693
0.017241379,0.344660194
0.017241379,0.343825666
0.017241379,0.342995169
0.017362797,0.344578313
0.017362797,0.34375
0.017362797,0.342925659
0.017362797,0.342105263
0.017362797,0.341288783
0.017484216,0.342857143
0.017605634,0.344418052
0.017727052,0.345971564
0.017727052,0.345153664
0.01784847,0.346698113
0.01784847,0.345882353
0.01784847,0.345070423
0.017969888,0.346604215
0.017969888,0.345794393
0.018091306,0.347319347
0.018091306,0.346511628
0.018212725,0.348027842
0.018212725,0.347222222
0.018212725,0.346420323
0.018334143,0.347926267
0.018455561,0.349425287
0.018455561,0.348623853
0.018455561,0.347826087
0.018455561,0.347031963
0.018455561,0.346241458
0.018455561,0.345454545
0.018455561,0.344671202
0.018576979,0.346153846
