"","ERF056.log2FC","ERF056.padj"
"AT1G04440",0.41738813417152,6.08499184724773e-07
"AT1G04445",0.995068158245137,0.000109963610404892
"AT1G04470",1.76581875178459,0.0422490403996954
"AT1G04490",-0.584041333454138,0.000473445256986228
"AT1G04530",0.885634563395824,1.1293813265326e-06
"AT1G04570",-0.644238059046182,0.0191440513607278
"AT1G04613",1.45040919753532,0.0332740840728177
"AT1G04820",-0.922636947862479,3.84172994595496e-09
"AT1G04850",-0.614366254364788,7.6526166920075e-10
"AT1G05010",-0.735015974440103,1.27253002555426e-11
"AT1G05020",-0.926259668627659,0.013862154831416
"AT1G05061",0.772744456648007,0.00176883687241043
"AT1G05100",-0.899196130761123,1.07152351263568e-11
"AT1G05120",0.515779842162512,3.66506450081345e-09
"AT1G05270",-0.326770677123839,0.00491946533494174
"AT1G05340",-0.486659443356459,0.000237302228634649
"AT1G05380",0.341534801229449,0.0193274020411686
"AT1G05490",1.15318659389361,0.0252860425009249
"AT1G05620",-0.62291690545426,4.57666428341449e-06
"AT1G05690",3.0460589384978,0.00577850892420289
"AT1G05820",0.960632785092764,0.00154993187198224
"AT1G05835",-0.846569250111608,0.018570826639202
"AT1G05870",-0.481764772878066,0.0217733411616343
"AT1G06000",-0.689993961337963,8.7557942080903e-07
"AT1G06010",-1.24896644167169,0.0096477261671616
"AT1G06040",-0.659356339265195,0.0187332173377035
"AT1G06070",0.461414980053944,7.3878976166819e-05
"AT1G06090",0.929432269675832,0.0406108787106846
"AT1G06148",1.88507167545685,0.00738027811046876
"AT1G06150",0.570844102445257,0.00380483335774274
"AT1G06290",-0.508663896388537,6.73085386322939e-10
"AT1G06390",-0.551407952956829,0.000627931816412578
"AT1G06400",-0.596691115067287,6.51614634953976e-07
"AT1G06410",-0.552357545118159,4.20418381193743e-06
"AT1G06430",-0.537481573461794,5.13551593847892e-06
"AT1G06450",0.385765593510406,0.0439834982622385
"AT1G06460",0.769102915763347,0.000209137740875081
"AT1G06490",1.36839081652848,0.00882607058291567
"AT1G06540",-0.853849717280338,0.00418316967805654
"AT1G06550",-1.17341744889468,1.13533738678178e-27
"AT1G06640",0.652734426745764,0.000116251624363581
"AT1G06645",0.776320590001611,0.00775505209110592
"AT1G06650",0.717687591524008,0.0433963713032866
"AT1G06760",0.397384384898415,0.000160519349521498
"AT1G06770",1.06257990536227,1.70905524064934e-05
"AT1G06800",-0.676666512672225,0.00180582662363339
"AT1G06840",0.501381709666788,8.49095312331696e-06
"AT1G07030",0.445003688030386,0.0257517168326894
"AT1G07110",-0.443265156749216,0.0051631696104549
"AT1G07130",-0.466936530613347,0.0207277793168703
"AT1G07150",0.704674906106948,5.58327225075269e-09
"AT1G07290",1.19504506306944,0.00412409718494775
"AT1G07350",-0.639923939075277,0.000124095144684426
"AT1G07360",0.408075304074032,5.22779666029987e-05
"AT1G07530",-0.360949291121955,2.96555088100619e-05
"AT1G07570",0.50668012234163,0.03051557380139
"AT1G07610",2.43593889867489,1.71674624927753e-12
"AT1G07615",0.838954944515563,0.000679524732123747
"AT1G07670",-0.316978429841287,0.00160437018152911
"AT1G07750",-0.964893741649297,9.51133052458825e-09
"AT1G07790",0.672543204503035,2.01354212168016e-06
"AT1G07810",-0.231194995275856,0.0390739950874347
"AT1G07890",-0.648738000579557,2.08716228328603e-16
"AT1G07900",-1.44402263186641,0.000554833762469667
"AT1G08050",0.704154737665353,4.2385509407417e-09
"AT1G08110",-0.47598706008143,2.12929263115948e-05
"AT1G08130",0.697382404629866,9.57810235729329e-08
"AT1G08160",4.73280752032861,0.000645019438686018
"AT1G08190",-0.262098691124053,0.0403398885085646
"AT1G08260",0.425284485710853,0.0151029241134916
"AT1G08290",-0.749066228579445,7.09435727358564e-10
"AT1G08300",0.436177287902214,0.0253084308358817
"AT1G08310",0.574192791645235,0.0308273294400073
"AT1G08410",0.486668531853382,0.000614367754921473
"AT1G08430",-0.565170440708249,0.0088580749567051
"AT1G08440",-0.892957379692505,0.00154503704072377
"AT1G08460",0.382161533264229,0.0450897000768833
"AT1G08480",-0.590885060738666,9.08004832122224e-05
"AT1G08500",0.884456445180157,0.0494504426144641
"AT1G08510",0.559409999086134,7.20521543066347e-08
"AT1G08580",0.658691316846939,0.00209805098942091
"AT1G08620",-0.301601926854596,0.0231384304808492
"AT1G08730",-0.857400856018023,1.41475325300021e-05
"AT1G08800",1.24041652302216,1.4018586869133e-22
"AT1G08820",0.252253481464394,0.0273348605991526
"AT1G08830",-1.00752922188032,6.72947636088147e-18
"AT1G08890",-0.374849916298833,0.0186199256194388
"AT1G08910",0.349607006672225,0.0241296793936649
"AT1G08920",-1.22544283440581,1.7475078841886e-36
"AT1G09070",-0.412629608194365,2.52602180817024e-05
"AT1G09080",-1.02948002035428,0.00198269290615991
"AT1G09085",3.84624520033189,0.0380742335994178
"AT1G09176",1.67643875850744,0.00305578701727895
"AT1G09210",-0.777434944958959,3.96028379289894e-05
"AT1G09415",1.02162316152944,0.0224992857226673
"AT1G09430",-0.786383611082834,1.93043612661176e-09
